# Date Range: 20220101-20221231,,,,,,,,,,
# Segments: ,,,,,,,,,,
"# Metrics: ""analytics.totalVisitors, analytics.newVisits, analytics.visits, analytics.bounceRate, analytics.avgPageviews, analytics.avgSessionTime, analytics.transactionsPerVisit, analytics.transactions, analytics.transactionRevenue""",,,,,,,,,,
"# Dimensions: ""analytics.medium, analytics.country""",,,,,,,,,,
# Metric Filters: ,,,,,,,,,,
# Dimension Filters: ,,,,,,,,,,
Medium,Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
cpc,United Kingdom,217946,178569,335130,0.4121982514,4.095321219,191.9113807,0.02026079432,6790,1624477.608
(none),Sweden,214628,209175,299347,0.6270949767,2.620941583,163.8398681,0.006023110303,1803,450380.2558
referral,Austria,206231,190736,300393,0.5541840189,1.849593699,175.4184119,0.046402546,13939,3284011.853
(none),Italy,202317,190473,322957,0.5382698006,3.237173989,212.3445939,0.00714955861,2309,409127.8347
referral,Colombia,201291,189056,270147,0.543578126,1.780560214,171.1924841,0.02821797022,7623,2228723.584
cpc,India,192511,183653,247703,0.6227942334,2.072142848,129.7024259,0.0127410649,3156,434671.5442
cpc,Germany,186937,156220,286376,0.4145808308,4.385084644,198.3035555,0.01570662346,4498,927920.5926
cpc,Czechia,186892,160492,308935,0.2738569602,6.179377539,227.0239371,0.006017447036,1859,425427.3926
cpc,Brazil,185552,170954,245064,0.5404588189,2.520345706,148.3152564,0.012355956,3028,509837.9001
referral,Norway,182879,165943,282790,0.5216910075,1.973372467,207.8525867,0.05489939531,15525,4456295.048
referral,Australia,182378,170915,254430,0.5728294619,1.779849074,152.5366388,0.0349644303,8896,4709925.007
referral,Romania,181811,164149,268447,0.5381434697,1.879343036,165.2470506,0.03422277023,9187,1706338.473
referral,Portugal,180743,163084,264104,0.5344258322,2.029666344,183.7348393,0.04492927029,11866,2674305.677
(none),India,175189,171454,281493,0.3831889248,4.004710597,417.6931078,0.002522265207,710,196656.7508
